id,row,col,cell,xcoord,ycoord,landtype,elevation,species,age,biomass,stems,slowGrowth,slowGrowthLight,slowGrowthWater,slowGrowthTemp,dbh,height,availableLight,light_rf,leafArea,droughtIndex,moisture_rf,degreeDay_rf,foliageWght,twigWght,boleWght,deadFoliage,deadTwig,deadbole,mortality
14919,0,19,19,484.8,271.8,1,2200,pinucemb,44,0.0114,7,0,0,0,0,7.9648,6.9844,0.4407,0.6531,5.0455,0,1,0.1799,0.0026,0.0086,0.0002,0.4355,1.1702,0.0385,26
17728,0,19,19,484.8,271.8,1,2200,pinucemb,20,0.0107,28,0,0,0,0,7.7969,6.8804,0.3781,0.5849,5.0455,0,1,0.1799,0.0025,0.0081,0.0001,0.4355,1.1702,0.0385,24
17990,0,19,19,484.8,271.8,1,2200,pinucemb,17,0.0106,8,0,0,0,0,7.7571,6.8556,0.2996,0.4827,5.0455,0,1,0.1799,0.0025,0.0079,0.0001,0.4355,1.1702,0.0385,25
19400,0,19,19,484.8,271.8,1,2200,pinucemb,5,0.0103,84,0,0,0,0,7.6941,6.8164,0.2105,0.3363,5.0455,0,1,0.1799,0.0025,0.0078,0.0001,0.4355,1.1702,0.0385,0
19869,0,19,19,484.8,271.8,1,2200,pinucemb,4,0.0102,34,4,4,0,0,7.6516,6.7899,0.1027,0.0972,5.0455,0,1,0.1799,0.0025,0.0076,0,0.4355,1.1702,0.0385,1
55,0,19,19,484.8,271.8,1,2200,alnuviri,110,0.0117,1,0,0,0,0,6.7154,3.6589,0.4611,0.5755,5.0455,0,1,0.2246,0.0005,0.0112,0,0.4355,1.1702,0.0385,15
57,0,19,19,484.8,271.8,1,2200,alnuviri,80,0.0114,2,0,0,0,0,6.6459,3.6517,0.4566,0.5705,5.0455,0,1,0.2246,0.0005,0.0109,0,0.4355,1.1702,0.0385,87
58,0,20,20,509.8,271.8,1,2200,grass,190,0.0124,1,5,5,0,0,0,1,0.0792,0,5.0869,0,1,0.2956,0.0062,0,0,0.4942,1.2192,0.0287,0
9562,0,20,20,509.8,271.8,1,2200,larideci,79,0.0185,6,0,0,0,0,8.0586,7.4233,0.9814,0.9871,5.0869,0,1,0.17,0.0007,0.0174,0.0004,0.4942,1.2192,0.0287,72
9564,0,20,20,509.8,271.8,1,2200,pinucemb,79,0.0132,14,0,0,0,0,8.4021,7.2525,0.8928,0.9566,5.0869,0,1,0.1799,0.0029,0.01,0.0004,0.4942,1.2192,0.0287,68
11439,0,20,20,509.8,271.8,1,2200,pinucemb,69,0.0126,1,0,0,0,0,8.256,7.1634,0.793,0.9098,5.0869,0,1,0.1799,0.0028,0.0095,0.0003,0.4942,1.2192,0.0287,19
13047,0,20,20,509.8,271.8,1,2200,pinucemb,57,0.0122,8,0,0,0,0,8.1702,7.1108,0.7628,0.8941,5.0869,0,1,0.1799,0.0027,0.0092,0.0003,0.4942,1.2192,0.0287,44
13325,0,20,20,509.8,271.8,1,2200,pinucemb,56,0.0121,7,0,0,0,0,8.1499,7.0983,0.6974,0.8573,5.0869,0,1,0.1799,0.0027,0.0092,0.0002,0.4942,1.2192,0.0287,28
14009,0,20,20,509.8,271.8,1,2200,pinucemb,46,0.0119,35,0,0,0,0,8.0943,7.0642,0.578,0.7776,5.0869,0,1,0.1799,0.0027,0.009,0.0002,0.4942,1.2192,0.0287,53
14466,0,20,20,509.8,271.8,1,2200,pinucemb,45,0.0115,13,0,0,0,0,8.0004,7.0063,0.4202,0.6371,5.0869,0,1,0.1799,0.0027,0.0087,0.0002,0.4942,1.2192,0.0287,23
17729,0,20,20,509.8,271.8,1,2200,pinucemb,20,0.0107,25,0,0,0,0,7.7944,6.8788,0.348,0.5535,5.0869,0,1,0.1799,0.0025,0.0081,0.0001,0.4942,1.2192,0.0287,21
18716,0,20,20,509.8,271.8,1,2200,pinucemb,15,0.0105,14,0,0,0,0,7.7401,6.8451,0.2761,0.4526,5.0869,0,1,0.1799,0.0025,0.0079,0.0001,0.4942,1.2192,0.0287,19
19401,0,20,20,509.8,271.8,1,2200,pinucemb,5,0.0103,76,0,0,0,0,7.6941,6.8164,0.1911,0.3021,5.0869,0,1,0.1799,0.0025,0.0078,0.0001,0.4942,1.2192,0.0287,1
19870,0,20,20,509.8,271.8,1,2200,pinucemb,4,0.0101,32,4,4,0,0,7.6477,6.7875,0.0994,0.0879,5.0869,0,1,0.1799,0.0025,0.0076,0,0.4942,1.2192,0.0287,2
